YEAR,SERIAL,HWTSUPP,ASECFLAG,HFLAG,METAREA,MONTH,PERNUM,WTSUPP,SEX,RACE,OCC2010,INCTOT
2013,92957,2862.21,1,,7365,3,1,2862.21,1,100,9620,25000
2013,92957,2862.21,1,,7365,3,2,4541.27,1,100,6260,12011
2013,92957,2862.21,1,,7365,3,3,4513.16,1,100,6420,25000
2013,92957,2862.21,1,,7365,3,4,4513.16,1,100,9130,10000
2013,92959,2385.98,1,,7365,3,1,2385.98,2,652,3530,53515
2013,92959,2385.98,1,,7365,3,2,2385.98,1,652,3110,71000
2013,92959,2385.98,1,,7365,3,3,1661.4,2,652,9920,99999999
2013,92963,3137.8,1,,7365,3,1,3137.8,2,100,430,77800
2013,92963,3137.8,1,,7365,3,2,3309.68,1,100,4620,23520
2013,92963,3137.8,1,,7365,3,3,3309.68,1,100,4700,14120
2013,92964,2342.21,1,,7365,3,1,2342.21,2,802,5700,49000
2013,92964,2342.21,1,,7365,3,2,2342.21,1,802,9920,77000
2013,92965,3108.06,1,,7365,3,1,3108.06,1,100,9920,34715
2013,92965,3108.06,1,,7365,3,2,3188.8,1,100,9920,18000
2013,92965,3108.06,1,,7365,3,3,2740.29,2,100,9920,0
2013,92966,1636.31,1,,7365,3,1,1636.31,1,100,220,74645
2013,92966,1636.31,1,,7365,3,2,1636.31,2,100,9920,12000
2013,92966,1636.31,1,,7365,3,3,1589.28,2,100,4110,6240
2013,92966,1636.31,1,,7365,3,4,1534.87,1,100,9920,0
2013,92966,1636.31,1,,7365,3,5,1365.43,2,100,9920,99999999
2013,92966,1636.31,1,,7365,3,6,1365.43,2,100,9920,99999999
2013,92966,1636.31,1,,7365,3,7,1489.98,2,100,9920,99999999
2013,92966,1636.31,1,,7365,3,8,1489.98,2,100,9920,99999999
2013,92967,3141.2,1,,7365,3,1,3141.2,2,100,5110,26593
2013,92967,3141.2,1,,7365,3,2,3141.2,1,100,9920,36388
2013,92967,3141.2,1,,7365,3,3,3384.73,1,100,1050,0
2013,92968,3075.86,1,,7365,3,1,3075.86,2,100,9920,63828
2013,92968,3075.86,1,,7365,3,2,3075.86,1,100,9920,3028
2013,92969,3068.09,1,,7365,3,1,3068.09,1,100,1410,115421
2013,92969,3068.09,1,,7365,3,2,3068.09,2,100,2330,22921
2013,92970,2892.39,1,,7365,3,1,2892.39,1,100,1020,117865
2013,92970,2892.39,1,,7365,3,2,3447.39,2,100,5400,23840
2013,92971,3279.06,1,,7365,3,1,3279.06,2,100,4600,64083
2013,92972,1803.52,1,,7365,3,1,1803.52,1,200,9920,15599
2013,92973,1562.79,1,,7365,3,1,1562.79,1,100,4220,29017
2013,92973,1562.79,1,,7365,3,2,1562.79,2,100,2600,45000
2013,92973,1562.79,1,,7365,3,3,1391.36,2,100,9920,99999999
2013,92973,1562.79,1,,7365,3,4,1524.81,2,100,9920,99999999
2013,92973,1562.79,1,,7365,3,5,1844.14,1,100,7840,75766
2013,92974,1863.82,1,,7365,3,1,1863.82,2,200,9920,38400
2013,92976,1748.64,1,,7365,3,1,1748.64,2,651,350,130030
2013,92976,1748.64,1,,7365,3,2,1748.64,1,651,4530,10001
2013,92976,1748.64,1,,7365,3,3,2037.98,2,651,9920,0
2013,92976,1748.64,1,,7365,3,4,2037.98,2,651,9920,0
2013,92976,1748.64,1,,7365,3,5,1367.9,2,651,9920,99999999
2013,92977,1841.32,1,,7365,3,1,1841.32,1,651,4700,30072
2013,92977,1841.32,1,,7365,3,2,1748.64,2,651,5700,35000
2013,92977,1841.32,1,,7365,3,3,1931.18,1,651,9920,1760
2013,92978,3247.6,1,,7365,3,1,3247.6,2,100,2720,42016
2013,92980,1684.33,1,,7365,3,1,1684.33,2,100,1820,62000
2013,92980,1684.33,1,,7365,3,2,1684.33,1,651,4700,0
2013,92980,1684.33,1,,7365,3,3,2157.3,2,651,720,571
2013,92981,1427.99,1,,7365,3,1,1427.99,2,100,2010,20000
2013,92981,1427.99,1,,7365,3,2,1427.99,1,100,6230,40000
2013,92981,1427.99,1,,7365,3,3,1239.7,1,100,9920,99999999
2013,92981,1427.99,1,,7365,3,4,1382.13,2,100,9920,99999999
2013,92982,3042.81,1,,7365,3,1,3042.81,1,100,2630,120100
2013,92982,3042.81,1,,7365,3,2,3042.81,2,100,2310,24000
2013,92983,3266.71,1,,7365,3,1,3266.71,2,100,9920,65680
2013,92983,3266.71,1,,7365,3,2,3406.81,1,100,9620,19825
2013,92983,3266.71,1,,7365,3,3,3266.71,2,100,2310,88850
2013,92984,3856.4,1,,7365,3,1,3856.4,1,651,1100,113211
2013,92984,3856.4,1,,7365,3,2,3856.4,2,651,1020,44000
2013,92984,3856.4,1,,7365,3,3,2845.88,2,651,9920,99999999
2013,92985,3291.07,1,,7365,3,1,3291.07,1,100,1020,108040
2013,92985,3291.07,1,,7365,3,2,3291.07,2,100,5940,8540
2013,92985,3291.07,1,,7365,3,3,3229.85,2,100,4520,0
2013,92985,3291.07,1,,7365,3,4,3434.08,1,100,9620,2800
2013,92986,3473.82,1,,7365,3,1,3473.82,1,100,140,153588
2013,92988,3627.44,1,,7365,3,1,3627.44,1,100,4200,50000
2013,92988,3627.44,1,,7365,3,2,3627.44,2,100,9920,0
2013,92989,3627.44,1,,7365,3,1,3627.44,2,100,9920,25999
2013,92990,1672.11,1,,7365,3,1,1672.11,1,100,1460,105423
2013,92990,1672.11,1,,7365,3,2,1672.11,2,100,7000,149223
2013,92990,1672.11,1,,7365,3,3,1887.06,2,100,9920,99999999
2013,92990,1672.11,1,,7365,3,4,2385.56,2,100,9920,99999999
2013,92991,2176.28,1,,7365,3,1,2176.28,1,651,120,80005
2013,92991,2176.28,1,,7365,3,2,2176.28,2,651,3300,40005
2013,92991,2176.28,1,,7365,3,3,2094.16,2,651,9920,51
2013,92991,2176.28,1,,7365,3,4,1886.5,2,651,9920,99999999
2013,92993,2037.73,1,,7365,3,1,2037.73,2,651,5860,50000
2013,92993,2037.73,1,,7365,3,2,2037.73,1,100,150,93800
2013,92993,2037.73,1,,7365,3,3,1860.53,2,651,5700,30000
2013,92994,2037.73,1,,7365,3,1,2037.73,2,651,4700,60000
2013,92994,2037.73,1,,7365,3,2,2138.86,1,651,1020,70000
2013,92994,2037.73,1,,7365,3,3,2138.86,1,651,1240,80000
2013,92995,3413.24,1,,7365,3,1,3413.24,2,100,9920,90300
2013,92996,1956.13,1,,7365,3,1,1956.13,2,200,2010,21475
2013,92996,1956.13,1,,7365,3,2,1898.93,2,200,9920,99999999
2013,92996,1956.13,1,,7365,3,3,1956.13,1,651,4220,0
2013,92998,2122.67,1,,7365,3,1,2122.67,2,200,9920,12600
2013,92998,2122.67,1,,7365,3,2,1672.12,2,200,4720,19200
2013,92999,3122.05,1,,7365,3,1,3122.05,2,200,9920,15599
2013,93000,3387.65,1,,7365,3,1,3387.65,2,100,710,37460
2013,93001,1590,1,,7365,3,1,1590,1,100,2010,50500
2013,93001,1590,1,,7365,3,2,1319.31,2,100,5400,34000
2013,93001,1590,1,,7365,3,3,1849.78,1,100,4610,23000
2013,93003,1933.53,1,,7365,3,1,1933.53,2,200,9620,32000
2013,93003,1933.53,1,,7365,3,2,1623.55,1,200,9920,0
2013,93004,2117.11,1,,7365,3,1,2117.11,2,651,9920,50214
2013,93005,1530.97,1,,7365,3,1,1530.97,2,200,9920,9264
2013,93005,1530.97,1,,7365,3,2,1589.15,2,200,9920,99999999
2013,93005,1530.97,1,,7365,3,3,1298.61,1,200,9920,99999999
2013,93005,1530.97,1,,7365,3,4,1388.09,1,200,9920,99999999
2013,93006,1860.53,1,,7365,3,1,1860.53,2,651,2850,43600
2013,93006,1860.53,1,,7365,3,2,1860.53,1,803,2200,75700
2013,93007,3106.02,1,,7365,3,1,3106.02,2,651,4850,25030
2013,93012,1644.23,1,,7365,3,1,1644.23,2,651,9640,17500
2013,93012,1644.23,1,,7365,3,2,1644.23,1,651,9920,8760
2013,93012,1644.23,1,,7365,3,3,1758.68,2,651,9920,0
2013,93013,1351.08,1,,7365,3,1,1351.08,2,100,9920,21776
2013,93013,1351.08,1,,7365,3,2,1676.5,1,100,9920,99999999
2013,93013,1351.08,1,,7365,3,3,1800.21,2,100,9920,99999999
2013,93013,1351.08,1,,7365,3,4,1360.31,2,100,9920,3600
2013,93013,1351.08,1,,7365,3,5,1360.31,1,100,5700,13077
2013,93014,1335.03,1,,7365,3,1,1335.03,1,100,6230,60000
2013,93014,1335.03,1,,7365,3,2,1335.03,2,100,4230,0
2013,93014,1335.03,1,,7365,3,3,1229.34,1,100,9920,0
2013,93014,1335.03,1,,7365,3,4,1713.71,2,100,9920,99999999
2013,93014,1335.03,1,,7365,3,5,1972.24,1,100,6230,34000
2013,93015,1845.27,1,,7365,3,1,1845.27,1,651,7200,45000
2013,93015,1845.27,1,,7365,3,2,1845.27,2,651,8350,5340
2013,93015,1845.27,1,,7365,3,3,1758.68,2,651,9920,0
2013,93015,1845.27,1,,7365,3,4,1495.99,1,651,9920,0
2013,93017,2383.93,1,,7365,3,1,2383.93,1,803,1050,85000
2013,93017,2383.93,1,,7365,3,2,2383.93,2,803,3130,120000
2013,93017,2383.93,1,,7365,3,3,2352.51,2,803,9920,99999999
2013,93018,1682.83,1,,7365,3,1,1682.83,1,100,9920,43700
2013,93018,1682.83,1,,7365,3,2,2245.93,1,200,6260,36400
2013,93020,1636.6,1,,7365,3,1,1636.6,2,651,800,60000
2013,93020,1636.6,1,,7365,3,2,1636.6,1,651,110,92000
2013,93020,1636.6,1,,7365,3,3,1758.68,2,651,2310,13000
2013,93020,1636.6,1,,7365,3,4,1317.88,1,651,9920,99999999
2013,93021,3065.35,1,,7365,3,1,3065.35,1,100,3060,60020
2013,93022,1636.6,1,,7365,3,1,1636.6,2,651,4520,35000
2013,93022,1636.6,1,,7365,3,2,1924.17,2,651,9920,10799
2013,93023,1589.64,1,,7365,3,1,1589.64,1,651,140,220005
2013,93023,1589.64,1,,7365,3,2,1589.64,2,651,850,51500
2013,93025,1608.34,1,,7365,3,1,1608.34,1,200,6230,73678
2013,93026,1920.5,1,,7365,3,1,1920.5,1,200,2040,42000
2013,93026,1920.5,1,,7365,3,2,1920.5,2,200,800,51808
2013,93026,1920.5,1,,7365,3,3,1955.65,2,200,9920,0
2013,93026,1920.5,1,,7365,3,4,2017.85,2,200,9920,99999999
2013,93026,1920.5,1,,7365,3,5,1989.17,2,200,9920,99999999
2013,93027,1853.5,1,,7365,3,1,1853.5,1,200,9920,6005
2013,93030,1875.4,1,,7365,3,1,1875.4,1,200,430,40000
2013,93031,3712.23,1,,7365,3,1,3712.23,2,100,2310,43005
2013,93033,1848.84,1,,7365,3,1,1848.84,2,651,800,53750
2013,93034,1963.55,1,,7365,3,1,1963.55,2,651,1020,95030
2013,93035,3182.61,1,,7365,3,1,3182.61,2,100,120,230999
2013,93035,3182.61,1,,7365,3,2,3182.61,1,100,1050,51000
2013,93036,1741.04,1,,7365,3,1,1741.04,2,200,4510,14019
2013,93036,1741.04,1,,7365,3,2,1869.2,1,200,9920,0
2013,93036,1741.04,1,,7365,3,3,1748.08,1,200,9920,99999999
2013,93038,1871.47,1,,7365,3,1,1871.47,2,200,5400,11004
2013,93038,1871.47,1,,7365,3,2,2204.95,1,200,9920,99999999
2013,93038,1871.47,1,,7365,3,3,2264.5,1,200,9920,99999999
2013,93039,1771.61,1,,7365,3,1,1771.61,2,651,9200,46520
2013,93039,1771.61,1,,7365,3,2,1604.53,2,809,9920,99999999
2013,93039,1771.61,1,,7365,3,3,1786.37,1,809,9920,99999999
2013,93040,1721.1,1,,7365,3,1,1721.1,1,651,5550,79908
2013,93040,1721.1,1,,7365,3,2,1721.1,2,651,9920,272
